index,month,year,days,report_date,journey_type,journeys_millions
0,2,2020,29,2020-06-30T00:00:00.000,Underground & DLR,8.041099198
1,2,2020,29,2020-06-30T00:00:00.000,Bus,32.4672429
2,2,2020,29,2020-06-30T00:00:00.000,Tram,0.470811182
3,2,2020,29,2020-06-30T00:00:00.000,Overground,1.491889551
4,2,2020,29,2020-06-30T00:00:00.000,Emirates Airline,0.004978
5,2,2020,29,2020-06-30T00:00:00.000,TfL Rail,0.700218177
6,1,2020,31,2020-06-30T00:00:00.000,Underground & DLR,6.950756766
7,3,2020,31,2020-06-30T00:00:00.000,Underground & DLR,15.4406231
8,1,2020,31,2020-06-30T00:00:00.000,Bus,30.22373646
9,3,2020,31,2020-06-30T00:00:00.000,Bus,46.95951983
10,1,2020,31,2020-06-30T00:00:00.000,Tram,0.440934103
11,3,2020,31,2020-06-30T00:00:00.000,Tram,0.704707251
12,1,2020,31,2020-06-30T00:00:00.000,Overground,0.999692678
13,3,2020,31,2020-06-30T00:00:00.000,Overground,2.797743723
14,1,2020,31,2020-06-30T00:00:00.000,Emirates Airline,0.000169
15,3,2020,31,2020-06-30T00:00:00.000,Emirates Airline,0.015716
16,1,2020,31,2020-06-30T00:00:00.000,TfL Rail,0.594614839
17,3,2020,31,2020-06-30T00:00:00.000,TfL Rail,1.15834799
18,2,2013,28,2013-06-30T00:00:00.000,Underground & DLR,105.064674
19,2,2013,28,2013-06-30T00:00:00.000,Bus,188.7783616
20,2,2013,28,2013-06-30T00:00:00.000,Tram,2.471114322
21,2,2013,28,2013-06-30T00:00:00.000,Overground,10.33791163
22,2,2013,28,2013-06-30T00:00:00.000,Emirates Airline,0.128717
23,2,2013,28,2013-06-30T00:00:00.000,TfL Rail,
24,1,2013,31,2013-06-30T00:00:00.000,Underground & DLR,99.74275141
25,3,2013,31,2013-06-30T00:00:00.000,Underground & DLR,103.5364018
26,1,2013,31,2013-06-30T00:00:00.000,Bus,171.634596
27,3,2013,31,2013-06-30T00:00:00.000,Bus,183.498908
28,1,2013,31,2013-06-30T00:00:00.000,Tram,2.2857799
29,3,2013,31,2013-06-30T00:00:00.000,Tram,2.384661963
30,1,2013,31,2013-06-30T00:00:00.000,Overground,10.27484354
31,3,2013,31,2013-06-30T00:00:00.000,Overground,10.90388008
32,1,2013,31,2013-06-30T00:00:00.000,Emirates Airline,0.138309
33,3,2013,31,2013-06-30T00:00:00.000,Emirates Airline,0.141628
34,1,2013,31,2013-06-30T00:00:00.000,TfL Rail,
35,3,2013,31,2013-06-30T00:00:00.000,TfL Rail,
36,9,2016,30,2016-12-31T00:00:00.000,Underground & DLR,126.7160291
37,9,2016,30,2016-12-31T00:00:00.000,Bus,182.6521273
38,9,2016,30,2016-12-31T00:00:00.000,Tram,2.123296512
39,9,2016,30,2016-12-31T00:00:00.000,Overground,15.69699568
40,9,2016,30,2016-12-31T00:00:00.000,Emirates Airline,0.080307
41,9,2016,30,2016-12-31T00:00:00.000,TfL Rail,4.011194419
42,7,2016,31,2016-12-31T00:00:00.000,Underground & DLR,120.0079534
43,8,2016,31,2016-12-31T00:00:00.000,Underground & DLR,122.6700472
44,7,2016,31,2016-12-31T00:00:00.000,Bus,186.9184053
45,8,2016,31,2016-12-31T00:00:00.000,Bus,176.6024622
46,7,2016,31,2016-12-31T00:00:00.000,Tram,2.518967928
47,8,2016,31,2016-12-31T00:00:00.000,Tram,2.219800939
48,7,2016,31,2016-12-31T00:00:00.000,Overground,15.23670263
49,8,2016,31,2016-12-31T00:00:00.000,Overground,15.43628028
50,7,2016,31,2016-12-31T00:00:00.000,Emirates Airline,0.09988225
51,8,2016,31,2016-12-31T00:00:00.000,Emirates Airline,0.118994
52,7,2016,31,2016-12-31T00:00:00.000,TfL Rail,3.738489267
53,8,2016,31,2016-12-31T00:00:00.000,TfL Rail,3.826849348
54,11,2020,30,2021-03-31T00:00:00.000,Underground & DLR,19.41306327
55,11,2020,30,2021-03-31T00:00:00.000,Bus,51.62279978
56,11,2020,30,2021-03-31T00:00:00.000,Tram,0.668000889
57,11,2020,30,2021-03-31T00:00:00.000,Overground,3.499736136
58,11,2020,30,2021-03-31T00:00:00.000,Emirates Airline,0.018906
59,11,2020,30,2021-03-31T00:00:00.000,TfL Rail,1.154206467
60,10,2020,31,2021-03-31T00:00:00.000,Underground & DLR,21.57123913
61,12,2020,31,2021-03-31T00:00:00.000,Underground & DLR,22.86173855
62,10,2020,31,2021-03-31T00:00:00.000,Bus,57.48044274
63,12,2020,31,2021-03-31T00:00:00.000,Bus,56.89329743
64,10,2020,31,2021-03-31T00:00:00.000,Tram,0.73895385
65,12,2020,31,2021-03-31T00:00:00.000,Tram,0.772059038
66,10,2020,31,2021-03-31T00:00:00.000,Overground,3.192937975
67,12,2020,31,2021-03-31T00:00:00.000,Overground,4.38364971
68,10,2020,31,2021-03-31T00:00:00.000,Emirates Airline,0.029085
69,12,2020,31,2021-03-31T00:00:00.000,Emirates Airline,0.050903
70,10,2020,31,2021-03-31T00:00:00.000,TfL Rail,1.218441048
71,12,2020,31,2021-03-31T00:00:00.000,TfL Rail,1.363278027
72,4,2017,30,2017-09-30T00:00:00.000,Underground & DLR,118.5452633
73,6,2017,30,2017-09-30T00:00:00.000,Underground & DLR,105.0908914
74,4,2017,30,2017-09-30T00:00:00.000,Bus,181.4774547
75,6,2017,30,2017-09-30T00:00:00.000,Bus,165.9884702
76,4,2017,30,2017-09-30T00:00:00.000,Tram,2.366947479
77,6,2017,30,2017-09-30T00:00:00.000,Tram,2.207812359
78,4,2017,30,2017-09-30T00:00:00.000,Overground,14.98989134
79,6,2017,30,2017-09-30T00:00:00.000,Overground,14.54848112
80,4,2017,30,2017-09-30T00:00:00.000,Emirates Airline,0.129216
81,6,2017,30,2017-09-30T00:00:00.000,Emirates Airline,0.121204
82,4,2017,30,2017-09-30T00:00:00.000,TfL Rail,3.708985052
83,6,2017,30,2017-09-30T00:00:00.000,TfL Rail,3.295722397
84,5,2017,31,2017-09-30T00:00:00.000,Underground & DLR,110.1956401
85,5,2017,31,2017-09-30T00:00:00.000,Bus,155.1018845
86,5,2017,31,2017-09-30T00:00:00.000,Tram,2.060928147
87,5,2017,31,2017-09-30T00:00:00.000,Overground,14.44132847
88,5,2017,31,2017-09-30T00:00:00.000,Emirates Airline,0.179892
89,5,2017,31,2017-09-30T00:00:00.000,TfL Rail,3.465754813
90,11,2013,30,2014-03-31T00:00:00.000,Underground & DLR,104.5940478
91,11,2013,30,2014-03-31T00:00:00.000,Bus,186.6478788
92,11,2013,30,2014-03-31T00:00:00.000,Tram,2.447911409
93,11,2013,30,2014-03-31T00:00:00.000,Overground,10.30713502
94,11,2013,30,2014-03-31T00:00:00.000,Emirates Airline,0.067098
95,11,2013,30,2014-03-31T00:00:00.000,TfL Rail,
96,10,2013,31,2014-03-31T00:00:00.000,Underground & DLR,90.35986225
97,12,2013,31,2014-03-31T00:00:00.000,Underground & DLR,102.5768518
98,10,2013,31,2014-03-31T00:00:00.000,Bus,155.1304078
99,12,2013,31,2014-03-31T00:00:00.000,Bus,185.6287836
100,10,2013,31,2014-03-31T00:00:00.000,Tram,2.033851329
101,12,2013,31,2014-03-31T00:00:00.000,Tram,2.433560379
102,10,2013,31,2014-03-31T00:00:00.000,Overground,8.142000786
103,12,2013,31,2014-03-31T00:00:00.000,Overground,10.80797722
104,10,2013,31,2014-03-31T00:00:00.000,Emirates Airline,0.068595
105,12,2013,31,2014-03-31T00:00:00.000,Emirates Airline,0.084601
106,10,2013,31,2014-03-31T00:00:00.000,TfL Rail,
107,12,2013,31,2014-03-31T00:00:00.000,TfL Rail,
108,4,2010,30,2010-09-30T00:00:00.000,Underground & DLR,92.5440925
109,6,2010,30,2010-09-30T00:00:00.000,Underground & DLR,86.3757023
110,4,2010,30,2010-09-30T00:00:00.000,Bus,183.4280516
111,6,2010,30,2010-09-30T00:00:00.000,Bus,175.8073358
112,4,2010,30,2010-09-30T00:00:00.000,Tram,2.1419405
113,6,2010,30,2010-09-30T00:00:00.000,Tram,2.0267475
114,4,2010,30,2010-09-30T00:00:00.000,Overground,
115,6,2010,30,2010-09-30T00:00:00.000,Overground,
116,4,2010,30,2010-09-30T00:00:00.000,Emirates Airline,
117,6,2010,30,2010-09-30T00:00:00.000,Emirates Airline,
118,4,2010,30,2010-09-30T00:00:00.000,TfL Rail,
119,6,2010,30,2010-09-30T00:00:00.000,TfL Rail,
120,5,2010,31,2010-09-30T00:00:00.000,Underground & DLR,88.66291085
121,5,2010,31,2010-09-30T00:00:00.000,Bus,160.4227672
122,5,2010,31,2010-09-30T00:00:00.000,Tram,2.0084825
123,5,2010,31,2010-09-30T00:00:00.000,Overground,
124,5,2010,31,2010-09-30T00:00:00.000,Emirates Airline,
125,5,2010,31,2010-09-30T00:00:00.000,TfL Rail,
126,2,2018,28,2018-06-30T00:00:00.000,Underground & DLR,115.3119189
127,2,2018,28,2018-06-30T00:00:00.000,Bus,179.6128231
128,2,2018,28,2018-06-30T00:00:00.000,Tram,2.347233824
129,2,2018,28,2018-06-30T00:00:00.000,Overground,14.41798508
130,2,2018,28,2018-06-30T00:00:00.000,Emirates Airline,0.112407
131,2,2018,28,2018-06-30T00:00:00.000,TfL Rail,3.67820478
132,1,2018,31,2018-06-30T00:00:00.000,Underground & DLR,112.9114077
133,3,2018,31,2018-06-30T00:00:00.000,Underground & DLR,113.6166283
134,1,2018,31,2018-06-30T00:00:00.000,Bus,165.8652481
135,3,2018,31,2018-06-30T00:00:00.000,Bus,173.8886094
136,1,2018,31,2018-06-30T00:00:00.000,Tram,1.930794131
137,3,2018,31,2018-06-30T00:00:00.000,Tram,2.271671918
138,1,2018,31,2018-06-30T00:00:00.000,Overground,14.68761425
139,3,2018,31,2018-06-30T00:00:00.000,Overground,14.25590317
140,1,2018,31,2018-06-30T00:00:00.000,Emirates Airline,0.120445
141,3,2018,31,2018-06-30T00:00:00.000,Emirates Airline,0.111652
142,1,2018,31,2018-06-30T00:00:00.000,TfL Rail,3.546085812
143,3,2018,31,2018-06-30T00:00:00.000,TfL Rail,4.167131236
144,9,2021,30,2021-12-31T00:00:00.000,Underground & DLR,82.78647055
145,9,2021,30,2021-12-31T00:00:00.000,Bus,131.3435068
146,9,2021,30,2021-12-31T00:00:00.000,Tram,1.556498656
147,9,2021,30,2021-12-31T00:00:00.000,Overground,12.20710486
148,9,2021,30,2021-12-31T00:00:00.000,Emirates Airline,0.073496
149,9,2021,30,2021-12-31T00:00:00.000,TfL Rail,3.3
150,7,2021,31,2021-12-31T00:00:00.000,Underground & DLR,76.82103574
151,8,2021,31,2021-12-31T00:00:00.000,Underground & DLR,80.85394361
152,7,2021,31,2021-12-31T00:00:00.000,Bus,130.1574945
153,8,2021,31,2021-12-31T00:00:00.000,Bus,125.3761971
154,7,2021,31,2021-12-31T00:00:00.000,Tram,1.677421013
155,8,2021,31,2021-12-31T00:00:00.000,Tram,1.664439075
156,7,2021,31,2021-12-31T00:00:00.000,Overground,12.47350367
157,8,2021,31,2021-12-31T00:00:00.000,Overground,11.58683787
158,7,2021,31,2021-12-31T00:00:00.000,Emirates Airline,0.096853
159,8,2021,31,2021-12-31T00:00:00.000,Emirates Airline,0.117665
160,7,2021,31,2021-12-31T00:00:00.000,TfL Rail,3.7
161,8,2021,31,2021-12-31T00:00:00.000,TfL Rail,3.7
162,2,2011,28,2011-06-30T00:00:00.000,Underground & DLR,94.10294338
163,2,2011,28,2011-06-30T00:00:00.000,Bus,186.1431198
164,2,2011,28,2011-06-30T00:00:00.000,Tram,2.243446
165,2,2011,28,2011-06-30T00:00:00.000,Overground,6.435434169
166,2,2011,28,2011-06-30T00:00:00.000,Emirates Airline,
167,2,2011,28,2011-06-30T00:00:00.000,TfL Rail,
168,1,2011,31,2011-06-30T00:00:00.000,Underground & DLR,97.63677178
169,3,2011,31,2011-06-30T00:00:00.000,Underground & DLR,94.98939582
170,1,2011,31,2011-06-30T00:00:00.000,Bus,183.7890695
171,3,2011,31,2011-06-30T00:00:00.000,Bus,181.6502126
172,1,2011,31,2011-06-30T00:00:00.000,Tram,2.112539
173,3,2011,31,2011-06-30T00:00:00.000,Tram,2.207762
174,1,2011,31,2011-06-30T00:00:00.000,Overground,6.255826688
175,3,2011,31,2011-06-30T00:00:00.000,Overground,6.939514058
176,1,2011,31,2011-06-30T00:00:00.000,Emirates Airline,
177,3,2011,31,2011-06-30T00:00:00.000,Emirates Airline,
178,1,2011,31,2011-06-30T00:00:00.000,TfL Rail,
179,3,2011,31,2011-06-30T00:00:00.000,TfL Rail,
180,9,2014,30,2014-12-31T00:00:00.000,Underground & DLR,120.3404409
181,9,2014,30,2014-12-31T00:00:00.000,Bus,195.6391849
182,9,2014,30,2014-12-31T00:00:00.000,Tram,2.597320062
183,9,2014,30,2014-12-31T00:00:00.000,Overground,11.23038825
184,9,2014,30,2014-12-31T00:00:00.000,Emirates Airline,0.090387
185,9,2014,30,2014-12-31T00:00:00.000,TfL Rail,
186,7,2014,31,2014-12-31T00:00:00.000,Underground & DLR,112.7901406
187,8,2014,31,2014-12-31T00:00:00.000,Underground & DLR,117.76628
188,7,2014,31,2014-12-31T00:00:00.000,Bus,198.7598134
189,8,2014,31,2014-12-31T00:00:00.000,Bus,190.1546904
190,7,2014,31,2014-12-31T00:00:00.000,Tram,2.638905613
191,8,2014,31,2014-12-31T00:00:00.000,Tram,2.408685204
192,7,2014,31,2014-12-31T00:00:00.000,Overground,10.84366212
193,8,2014,31,2014-12-31T00:00:00.000,Overground,11.04538765
194,7,2014,31,2014-12-31T00:00:00.000,Emirates Airline,0.112802
195,8,2014,31,2014-12-31T00:00:00.000,Emirates Airline,0.127104
196,7,2014,31,2014-12-31T00:00:00.000,TfL Rail,
197,8,2014,31,2014-12-31T00:00:00.000,TfL Rail,
198,4,2022,30,2022-09-30T00:00:00.000,Underground & DLR,87.77907382
199,6,2022,30,2022-09-30T00:00:00.000,Underground & DLR,86.08141475
200,4,2022,30,2022-09-30T00:00:00.000,Bus,137.8083418
201,6,2022,30,2022-09-30T00:00:00.000,Bus,132.881525
202,4,2022,30,2022-09-30T00:00:00.000,Tram,1.46955654
203,6,2022,30,2022-09-30T00:00:00.000,Tram,1.453775667
204,4,2022,30,2022-09-30T00:00:00.000,Overground,12.50552727
205,6,2022,30,2022-09-30T00:00:00.000,Overground,12.3020443
206,4,2022,30,2022-09-30T00:00:00.000,Emirates Airline,0.128628
207,6,2022,30,2022-09-30T00:00:00.000,Emirates Airline,0.149744
208,4,2022,30,2022-09-30T00:00:00.000,TfL Rail,11.627377
209,6,2022,30,2022-09-30T00:00:00.000,TfL Rail,9.780669
210,5,2022,31,2022-09-30T00:00:00.000,Underground & DLR,80.3174556
211,5,2022,31,2022-09-30T00:00:00.000,Bus,122.4636054
212,5,2022,31,2022-09-30T00:00:00.000,Tram,1.54454662
213,5,2022,31,2022-09-30T00:00:00.000,Overground,10.02445314
214,5,2022,31,2022-09-30T00:00:00.000,Emirates Airline,0.186278
215,5,2022,31,2022-09-30T00:00:00.000,TfL Rail,9.177708
216,11,2018,30,2019-03-31T00:00:00.000,Underground & DLR,116.0488427
217,11,2018,30,2019-03-31T00:00:00.000,Bus,171.3353323
218,11,2018,30,2019-03-31T00:00:00.000,Tram,2.221696164
219,11,2018,30,2019-03-31T00:00:00.000,Overground,14.47152417
220,11,2018,30,2019-03-31T00:00:00.000,Emirates Airline,0.063434
221,11,2018,30,2019-03-31T00:00:00.000,TfL Rail,4.56039029
222,10,2018,31,2019-03-31T00:00:00.000,Underground & DLR,99.40385898
223,12,2018,31,2019-03-31T00:00:00.000,Underground & DLR,120.5413866
224,10,2018,31,2019-03-31T00:00:00.000,Bus,144.857876
225,12,2018,31,2019-03-31T00:00:00.000,Bus,171.3055776
226,10,2018,31,2019-03-31T00:00:00.000,Tram,1.855491815
227,12,2018,31,2019-03-31T00:00:00.000,Tram,2.17577707
228,10,2018,31,2019-03-31T00:00:00.000,Overground,11.58278136
229,12,2018,31,2019-03-31T00:00:00.000,Overground,14.40872535
230,10,2018,31,2019-03-31T00:00:00.000,Emirates Airline,0.090213
231,12,2018,31,2019-03-31T00:00:00.000,Emirates Airline,0.098609
232,10,2018,31,2019-03-31T00:00:00.000,TfL Rail,3.859436726
233,12,2018,31,2019-03-31T00:00:00.000,TfL Rail,4.397425641
234,4,2015,30,2015-09-30T00:00:00.000,Underground & DLR,110.3057381
235,6,2015,30,2015-09-30T00:00:00.000,Underground & DLR,106.3357502
236,4,2015,30,2015-09-30T00:00:00.000,Bus,182.5099453
237,6,2015,30,2015-09-30T00:00:00.000,Bus,175.0026654
238,4,2015,30,2015-09-30T00:00:00.000,Tram,2.174068
239,6,2015,30,2015-09-30T00:00:00.000,Tram,2.025645
240,4,2015,30,2015-09-30T00:00:00.000,Overground,14.86933322
241,6,2015,30,2015-09-30T00:00:00.000,Overground,13.93937148
242,4,2015,30,2015-09-30T00:00:00.000,Emirates Airline,0.146784
243,6,2015,30,2015-09-30T00:00:00.000,Emirates Airline,0.123068
244,4,2015,30,2015-09-30T00:00:00.000,TfL Rail,3.774568028
245,6,2015,30,2015-09-30T00:00:00.000,TfL Rail,3.733603486
246,5,2015,31,2015-09-30T00:00:00.000,Underground & DLR,103.5202237
247,5,2015,31,2015-09-30T00:00:00.000,Bus,162.2927649
248,5,2015,31,2015-09-30T00:00:00.000,Tram,1.846514
249,5,2015,31,2015-09-30T00:00:00.000,Overground,13.76391107
250,5,2015,31,2015-09-30T00:00:00.000,Emirates Airline,0.192611
251,5,2015,31,2015-09-30T00:00:00.000,TfL Rail,3.670933403
252,11,2011,30,2012-03-31T00:00:00.000,Underground & DLR,96.70548698
253,11,2011,30,2012-03-31T00:00:00.000,Bus,181.3792522
254,11,2011,30,2012-03-31T00:00:00.000,Tram,2.249438
255,11,2011,30,2012-03-31T00:00:00.000,Overground,8.701779664
256,11,2011,30,2012-03-31T00:00:00.000,Emirates Airline,
257,11,2011,30,2012-03-31T00:00:00.000,TfL Rail,
258,10,2011,31,2012-03-31T00:00:00.000,Underground & DLR,84.50097107
259,12,2011,31,2012-03-31T00:00:00.000,Underground & DLR,98.46427621
260,10,2011,31,2012-03-31T00:00:00.000,Bus,151.1920286
261,12,2011,31,2012-03-31T00:00:00.000,Bus,179.4957134
262,10,2011,31,2012-03-31T00:00:00.000,Tram,1.92691
263,12,2011,31,2012-03-31T00:00:00.000,Tram,2.028529
264,10,2011,31,2012-03-31T00:00:00.000,Overground,6.882365476
265,12,2011,31,2012-03-31T00:00:00.000,Overground,8.816425055
266,10,2011,31,2012-03-31T00:00:00.000,Emirates Airline,
267,12,2011,31,2012-03-31T00:00:00.000,Emirates Airline,
268,10,2011,31,2012-03-31T00:00:00.000,TfL Rail,
269,12,2011,31,2012-03-31T00:00:00.000,TfL Rail,
270,9,2019,30,2019-12-31T00:00:00.000,Underground & DLR,127.3912004
271,9,2019,30,2019-12-31T00:00:00.000,Bus,176.2157208
272,9,2019,30,2019-12-31T00:00:00.000,Tram,2.315897918
273,9,2019,30,2019-12-31T00:00:00.000,Overground,15.83140693
274,9,2019,30,2019-12-31T00:00:00.000,Emirates Airline,0.075864
275,9,2019,30,2019-12-31T00:00:00.000,TfL Rail,4.963376783
276,7,2019,31,2019-12-31T00:00:00.000,Underground & DLR,121.7741123
277,8,2019,31,2019-12-31T00:00:00.000,Underground & DLR,123.2356757
278,7,2019,31,2019-12-31T00:00:00.000,Bus,179.3092965
279,8,2019,31,2019-12-31T00:00:00.000,Bus,168.9086314
280,7,2019,31,2019-12-31T00:00:00.000,Tram,2.307972909
281,8,2019,31,2019-12-31T00:00:00.000,Tram,2.201839772
282,7,2019,31,2019-12-31T00:00:00.000,Overground,17.82063199
283,8,2019,31,2019-12-31T00:00:00.000,Overground,17.1082871
284,7,2019,31,2019-12-31T00:00:00.000,Emirates Airline,0.08751
285,8,2019,31,2019-12-31T00:00:00.000,Emirates Airline,0.104711
286,7,2019,31,2019-12-31T00:00:00.000,TfL Rail,4.861940962
287,8,2019,31,2019-12-31T00:00:00.000,TfL Rail,4.895068741
288,2,2016,29,2016-06-30T00:00:00.000,Underground & DLR,115.2464109
289,2,2016,29,2016-06-30T00:00:00.000,Bus,181.877468
290,2,2016,29,2016-06-30T00:00:00.000,Tram,2.381151083
291,2,2016,29,2016-06-30T00:00:00.000,Overground,14.43277766
292,2,2016,29,2016-06-30T00:00:00.000,Emirates Airline,0.128865825
293,2,2016,29,2016-06-30T00:00:00.000,TfL Rail,3.694140364
294,1,2016,31,2016-06-30T00:00:00.000,Underground & DLR,124.5322923
295,3,2016,31,2016-06-30T00:00:00.000,Underground & DLR,113.4187527
296,1,2016,31,2016-06-30T00:00:00.000,Bus,189.2696946
297,3,2016,31,2016-06-30T00:00:00.000,Bus,173.6442849
298,1,2016,31,2016-06-30T00:00:00.000,Tram,2.392990897
299,3,2016,31,2016-06-30T00:00:00.000,Tram,2.309534152
300,1,2016,31,2016-06-30T00:00:00.000,Overground,15.64536191
301,3,2016,31,2016-06-30T00:00:00.000,Overground,13.77792909
302,1,2016,31,2016-06-30T00:00:00.000,Emirates Airline,0.140012
303,3,2016,31,2016-06-30T00:00:00.000,Emirates Airline,0.112962
304,1,2016,31,2016-06-30T00:00:00.000,TfL Rail,3.99836286
305,3,2016,31,2016-06-30T00:00:00.000,TfL Rail,3.508856093
306,9,2012,30,2012-12-31T00:00:00.000,Underground & DLR,109.5871702
307,9,2012,30,2012-12-31T00:00:00.000,Bus,187.603801
308,9,2012,30,2012-12-31T00:00:00.000,Tram,2.4633864
309,9,2012,30,2012-12-31T00:00:00.000,Overground,9.991859874
310,9,2012,30,2012-12-31T00:00:00.000,Emirates Airline,0.119806
311,9,2012,30,2012-12-31T00:00:00.000,TfL Rail,
